% Version 1.00
%
%freq[Hz],re:Trc14_S21,im:Trc14_S21,re:cap1_copo2_0_1plstc_S21,im:cap1_copo2_0_1plstc_S21,re:cap1_copo2_0_5plstc_S21,im:cap1_copo2_0_5plstc_S21,re:cap1_copo2_0_75plstc_S21,im:cap1_copo2_0_75plstc_S21,re:cap1_copo2_1plstc_S21,im:cap1_copo2_1plstc_S21,
1.220000000000000E+009,-4.353685379028320E-001,-8.699269890785217E-001,-4.342329976106991E-001,-8.701394678271168E-001,-4.365782332390240E-001,-8.695689222914910E-001,-4.361690976488409E-001,-8.693828358974952E-001,-4.354166917474128E-001,-8.698002318295910E-001,
1.225000000000000E+009,-4.434958696365356E-001,-8.660463094711304E-001,-4.423740081851219E-001,-8.664008214240323E-001,-4.446767322492052E-001,-8.658153264033431E-001,-4.442536003415349E-001,-8.656353025701005E-001,-4.435798098062478E-001,-8.660671540025667E-001,
1.230000000000000E+009,-4.511373043060303E-001,-8.615952134132385E-001,-4.499880641320482E-001,-8.621001608387436E-001,-4.522883407577479E-001,-8.614551848981314E-001,-4.518854690171760E-001,-8.612473564057533E-001,-4.511114044385878E-001,-8.617100931401095E-001,
1.235000000000000E+009,-4.588814973831177E-001,-8.578727245330811E-001,-4.577861250856664E-001,-8.581225717534008E-001,-4.600755867011824E-001,-8.574443918624745E-001,-4.597103273852166E-001,-8.572040957721669E-001,-4.589480202483462E-001,-8.577012540743290E-001,
1.240000000000000E+009,-4.667767584323883E-001,-8.531320095062256E-001,-4.656801870989836E-001,-8.534162654518073E-001,-4.680075645136848E-001,-8.527097103494031E-001,-4.676205093799555E-001,-8.525402618901656E-001,-4.668868386511406E-001,-8.529611952669880E-001,
1.245000000000000E+009,-4.747472107410431E-001,-8.488363027572632E-001,-4.737780532182947E-001,-8.491886999363324E-001,-4.761267692442541E-001,-8.483970872498335E-001,-4.756898829199528E-001,-8.482299853433816E-001,-4.749586769127933E-001,-8.487095367264104E-001,
1.250000000000000E+009,-4.821585118770599E-001,-8.446229100227356E-001,-4.810634239092471E-001,-8.450371170237919E-001,-4.833972389905916E-001,-8.442304654053866E-001,-4.829903484769707E-001,-8.441068722951642E-001,-4.822417897106957E-001,-8.445109560294315E-001,
1.255000000000000E+009,-4.896426200866699E-001,-8.406075835227966E-001,-4.884788211549438E-001,-8.411394577680657E-001,-4.909188795315834E-001,-8.402500022956483E-001,-4.904652398002661E-001,-8.401382384023794E-001,-4.896838161224577E-001,-8.406072430910931E-001,
1.260000000000000E+009,-4.976796805858612E-001,-8.356969952583313E-001,-4.965052779555452E-001,-8.362091443981379E-001,-4.987946092228972E-001,-8.352856668216044E-001,-4.984080030639175E-001,-8.351272452415579E-001,-4.976406172221185E-001,-8.356447238874430E-001,
1.265000000000000E+009,-5.039950609207153E-001,-8.319231271743774E-001,-5.029607607863954E-001,-8.324626233338576E-001,-5.052542023166472E-001,-8.314986989831289E-001,-5.048492608460390E-001,-8.313715457967003E-001,-5.040855352713544E-001,-8.318497335106123E-001,
