% Version 1.00
%
%freq[Hz],re:Trc14_S21,im:Trc14_S21,re:cap1_copo2_0_5leite_desnato_S21,im:cap1_copo2_0_5leite_desnato_S21,re:cap1_copo2_0_5leite_semi_desnato_S21,im:cap1_copo2_0_5leite_semi_desnato_S21,re:cap1_copo2_0_5leite_integral_S21,im:cap1_copo2_0_5leite_integral_S21,
1.210000000000000E+009,-4.197751730050857E-001,-8.785063033495919E-001,-4.200311826209833E-001,-8.767427972587981E-001,-4.181857620849610E-001,-8.784839824104311E-001,-4.197719543961660E-001,-8.784647740330277E-001,
1.215000000000000E+009,-4.274216027450866E-001,-8.749288952808642E-001,-4.277385058217625E-001,-8.731823580736637E-001,-4.258557867183687E-001,-8.749310973587038E-001,-4.274485645886068E-001,-8.749521225907259E-001,
1.220000000000000E+009,-4.347452789137943E-001,-8.708595081489668E-001,-4.350877365999952E-001,-8.691506117217839E-001,-4.332040708541871E-001,-8.709266850280764E-001,-4.347952804614693E-001,-8.708507244541409E-001,
1.225000000000000E+009,-4.429260203525046E-001,-8.671305488672763E-001,-4.431560419517177E-001,-8.653385249741888E-001,-4.413183270931245E-001,-8.671658714141848E-001,-4.428948106593436E-001,-8.670820627046816E-001,
1.230000000000000E+009,-4.504977878467350E-001,-8.627160448127043E-001,-4.507760069105219E-001,-8.609151679696814E-001,-4.489557708053590E-001,-8.628085806999208E-001,-4.504861349563606E-001,-8.626844821492283E-001,
1.235000000000000E+009,-4.583021822662389E-001,-8.586863352752974E-001,-4.585181914272173E-001,-8.569292984468339E-001,-4.567579627494813E-001,-8.588465786018373E-001,-4.583070914079802E-001,-8.586788568432593E-001,
1.240000000000000E+009,-4.661691330290280E-001,-8.539664930136047E-001,-4.664877809499982E-001,-8.522204767094420E-001,-4.646675775756837E-001,-8.540817722778322E-001,-4.662416775479297E-001,-8.539220064492438E-001,
1.245000000000000E+009,-4.742125772311485E-001,-8.496659884029654E-001,-4.745137249051046E-001,-8.478735828666890E-001,-4.726771195087434E-001,-8.498232166900637E-001,-4.742100154437429E-001,-8.496653175651604E-001,
1.250000000000000E+009,-4.815025280694921E-001,-8.455083108492794E-001,-4.817755463423831E-001,-8.436110629590331E-001,-4.799167660045625E-001,-8.456012992439271E-001,-4.814932109387826E-001,-8.454268045868748E-001,
1.255000000000000E+009,-4.889272725510568E-001,-8.415055556582599E-001,-4.891231511598311E-001,-8.396556980258970E-001,-4.872749119052888E-001,-8.416563708267215E-001,-4.889033145468811E-001,-8.414627291510436E-001,
1.260000000000000E+009,-4.968495269085068E-001,-8.365436117516116E-001,-4.970060649811847E-001,-8.347493321864365E-001,-4.951707125740053E-001,-8.367782171096804E-001,-4.968568364678847E-001,-8.365034224542521E-001,
1.265000000000000E+009,-5.032868574817089E-001,-8.328001458603006E-001,-5.033872849472740E-001,-8.309425878415020E-001,-5.016758749694826E-001,-8.329475023460391E-001,-5.032640334873759E-001,-8.327235017222538E-001,
1.270000000000000E+009,-5.107371677475256E-001,-8.281379517501466E-001,-5.108168988358083E-001,-8.262215593165718E-001,-5.090546170005800E-001,-8.283568106575014E-001,-5.107244636408223E-001,-8.280462791918690E-001,
1.275000000000000E+009,-5.170627786843799E-001,-8.236262571959671E-001,-5.171284077680354E-001,-8.217212806934747E-001,-5.153989808845521E-001,-8.238645629920962E-001,-5.170900357133849E-001,-8.235774071111133E-001,
1.280000000000000E+009,-5.236287432504997E-001,-8.191400856801642E-001,-5.236366366651291E-001,-8.172712053197972E-001,-5.219489964370728E-001,-8.194300650177004E-001,-5.236460338060900E-001,-8.190592842990867E-001,
1.285000000000000E+009,-5.302410020006726E-001,-8.149600736175624E-001,-5.301347019296966E-001,-8.130724038381637E-001,-5.283630778541566E-001,-8.153066178169252E-001,-5.302344431646143E-001,-8.148595522804482E-001,
1.290000000000000E+009,-5.369833653702697E-001,-8.101741447921083E-001,-5.368062985032049E-001,-8.083307661524205E-001,-5.352424603691103E-001,-8.105559784126284E-001,-5.370034082406541E-001,-8.101430782732993E-001,
1.295000000000000E+009,-5.429938578934768E-001,-8.055466453559387E-001,-5.428766479864022E-001,-8.037183505816968E-001,-5.412895873794558E-001,-8.059922048873903E-001,-5.430052907814620E-001,-8.054897067817883E-001,
1.300000000000000E+009,-5.495841541573989E-001,-8.006096676155875E-001,-5.493714635457820E-001,-7.989110095053988E-001,-5.477676794967653E-001,-8.011487166519167E-001,-5.496101238222264E-001,-8.005722320105790E-001,
1.305000000000000E+009,-5.553331430948347E-001,-7.959089009608158E-001,-5.550559124129557E-001,-7.942361283262609E-001,-5.534800355186463E-001,-7.965324620513917E-001,-5.553017511382394E-001,-7.959425581270497E-001,
1.310000000000000E+009,-5.615087536356794E-001,-7.912665596325428E-001,-5.612537352571634E-001,-7.895903351742091E-001,-5.596717653007508E-001,-7.918689588203431E-001,-5.615298464407637E-001,-7.912439841925960E-001,
1.315000000000000E+009,-5.671990690591804E-001,-7.865842031707034E-001,-5.668659415812014E-001,-7.850041292782196E-001,-5.653007192955019E-001,-7.872827942047123E-001,-5.671474137093282E-001,-7.865516098553900E-001,
1.320000000000000E+009,-5.734985250335749E-001,-7.823646557841364E-001,-5.732485374781412E-001,-7.808275225480377E-001,-5.716901237716675E-001,-7.831401749153139E-001,-5.734962520631101E-001,-7.823426441953214E-001,
1.325000000000000E+009,-5.798862124096340E-001,-7.779128712050700E-001,-5.796293465509149E-001,-7.764679267230226E-001,-5.780644560546876E-001,-7.787387162590028E-001,-5.798681915659228E-001,-7.778926947049391E-001,
