% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:pl_1_S21,im:pl_1_S21,
1.886640000000000E+009,-9.638656973838806E-001,1.968365907669067E-002,-9.638887286376955E-001,1.988645379900932E-002,
1.887600000000000E+009,-9.637067914009094E-001,2.129841595888138E-002,-9.638214313316347E-001,2.146865256547928E-002,
1.888560000000000E+009,-9.635363221168518E-001,2.260320447385311E-002,-9.636077037811281E-001,2.293044707775117E-002,
1.889520000000000E+009,-9.635379910469055E-001,2.408823184669018E-002,-9.635054840278627E-001,2.440624005913735E-002,
1.890480000000000E+009,-9.635460376739502E-001,2.564428001642227E-002,-9.635176469039918E-001,2.587082641482354E-002,
1.891440000000000E+009,-9.634517431259155E-001,2.715938165783882E-002,-9.634662796020510E-001,2.735797246098519E-002,
1.892400000000000E+009,-9.634451866149902E-001,2.853040397167206E-002,-9.634508617019654E-001,2.882538552403451E-002,
1.893360000000000E+009,-9.633331298828125E-001,3.013933263719082E-002,-9.633195774650576E-001,3.028932867705823E-002,
1.894320000000000E+009,-9.633731842041016E-001,3.180710226297379E-002,-9.633246550560000E-001,3.172418907999993E-002,
1.895280000000000E+009,-9.636338353157044E-001,3.295127302408218E-002,-9.634166047286989E-001,3.323214911580086E-002,
1.896240000000000E+009,-9.633539915084839E-001,3.444611653685570E-002,-9.633364227676392E-001,3.478505571126938E-002,
1.897200000000000E+009,-9.632912278175354E-001,3.600675612688065E-002,-9.633324364089967E-001,3.625120727062225E-002,
1.898160000000000E+009,-9.633550643920898E-001,3.758702427148819E-002,-9.633039261054994E-001,3.781667125701905E-002,
1.899120000000000E+009,-9.631943106651306E-001,3.921945393085480E-002,-9.631553131484988E-001,3.945191051006318E-002,
1.900080000000000E+009,-9.632320404052734E-001,4.082761332392693E-002,-9.631788691902163E-001,4.100656901597978E-002,
1.901040000000000E+009,-9.630409479141235E-001,4.206274077296257E-002,-9.630605578231813E-001,4.245027049422265E-002,
1.902000000000000E+009,-9.631410837173462E-001,4.368034377694130E-002,-9.630825751686098E-001,4.398854830384255E-002,
1.902960000000000E+009,-9.631757736206055E-001,4.536980018019676E-002,-9.631482369995119E-001,4.556803186655045E-002,
1.903920000000000E+009,-9.630577564239502E-001,4.688497260212898E-002,-9.630744028663638E-001,4.712043178677560E-002,
1.904880000000000E+009,-9.630858302116394E-001,4.847981408238411E-002,-9.631230818176271E-001,4.862276859521868E-002,
1.905840000000000E+009,-9.629065990447998E-001,5.038905143737793E-002,-9.630285837554934E-001,5.045762031555177E-002,
1.906800000000000E+009,-9.629650115966797E-001,5.159271508455277E-002,-9.629533987045291E-001,5.182119543552401E-002,
1.907760000000000E+009,-9.630300402641296E-001,5.292246118187904E-002,-9.630622165489199E-001,5.325359795093538E-002,
1.908720000000000E+009,-9.631997942924500E-001,5.442614108324051E-002,-9.630971288299562E-001,5.480295027256014E-002,
1.909680000000000E+009,-9.631567597389221E-001,5.607355386018753E-002,-9.631340209579469E-001,5.626034213781359E-002,
1.910640000000000E+009,-9.632363915443420E-001,5.753425881266594E-002,-9.632863556861879E-001,5.778901286721231E-002,
1.911600000000000E+009,-9.633488059043884E-001,5.896901711821556E-002,-9.633156418228152E-001,5.918412707567217E-002,
1.912560000000000E+009,-9.633453488349915E-001,6.031237542629242E-002,-9.634732608222963E-001,6.072054638862612E-002,
1.913520000000000E+009,-9.634773731231690E-001,6.202083826065064E-002,-9.635833171653749E-001,6.239175672292711E-002,
1.914480000000000E+009,-9.637686610221863E-001,6.392437219619751E-002,-9.636653895759583E-001,6.406165050029755E-002,
1.915440000000000E+009,-9.637667536735535E-001,6.548283249139786E-002,-9.636668303489686E-001,6.568318280696871E-002,
1.916400000000000E+009,-9.637451171875000E-001,6.707488000392914E-002,-9.637551558303836E-001,6.730062349319460E-002,
1.917360000000000E+009,-9.639961719512940E-001,6.877422332763672E-002,-9.639077447891238E-001,6.904223433256151E-002,
1.918320000000000E+009,-9.639844894409180E-001,7.056563347578049E-002,-9.639279850769045E-001,7.083203348159790E-002,
1.919280000000000E+009,-9.639965295791626E-001,7.233154028654099E-002,-9.639782275772096E-001,7.254092582225799E-002,
1.920240000000000E+009,-9.641628861427307E-001,7.407591491937637E-002,-9.639790652847293E-001,7.423345958948137E-002,
1.921200000000000E+009,-9.639378786087036E-001,7.536175847053528E-002,-9.639481260299684E-001,7.548393904924394E-002,
1.922160000000000E+009,-9.640311002731323E-001,7.660077512264252E-002,-9.640315653610232E-001,7.694141905546191E-002,
1.923120000000000E+009,-9.639459252357483E-001,7.862151414155960E-002,-9.638733754158022E-001,7.866471491575242E-002,
1.924080000000000E+009,-9.637876152992249E-001,8.019310981035233E-002,-9.637550749206545E-001,8.051124108314514E-002,
1.925040000000000E+009,-9.635331630706787E-001,8.214423805475235E-002,-9.636535767555239E-001,8.234077398777009E-002,
1.926000000000000E+009,-9.636468291282654E-001,8.386664837598801E-002,-9.636355430030824E-001,8.407138306617737E-002,
1.926960000000000E+009,-9.635340571403503E-001,8.551803231239319E-002,-9.634471512985232E-001,8.561686582565309E-002,
1.927920000000000E+009,-9.635295271873474E-001,8.709655702114105E-002,-9.634045677757264E-001,8.717298657894135E-002,
1.928880000000000E+009,-9.632982611656189E-001,8.877659589052200E-002,-9.633831815528872E-001,8.898074441194537E-002,
1.929840000000000E+009,-9.632658958435059E-001,9.053504467010498E-002,-9.632962224197390E-001,9.066889222383501E-002,
1.930800000000000E+009,-9.631207585334778E-001,9.215454012155533E-002,-9.631729068946840E-001,9.236227664947512E-002,
1.931760000000000E+009,-9.630479812622070E-001,9.385862201452255E-002,-9.630463747024537E-001,9.404396420240403E-002,
1.932720000000000E+009,-9.627908468246460E-001,9.556195139884949E-002,-9.628575000953676E-001,9.576729585886004E-002,
1.933680000000000E+009,-9.626516103744507E-001,9.728908538818359E-002,-9.628524004173280E-001,9.756809365749362E-002,
1.934640000000000E+009,-9.626870155334473E-001,9.918577224016190E-002,-9.626745162582399E-001,9.931707318305973E-002,
1.935600000000000E+009,-9.624159932136536E-001,1.008688434958458E-001,-9.624560549926760E-001,1.008015429615975E-001,
1.936560000000000E+009,-9.621825218200684E-001,1.022694483399391E-001,-9.622838060569766E-001,1.024114468431473E-001,
1.937520000000000E+009,-9.620953798294067E-001,1.037747859954834E-001,-9.620899705886843E-001,1.040799714422226E-001,
1.938480000000000E+009,-9.618690013885498E-001,1.057408750057221E-001,-9.618569300270083E-001,1.058184450650215E-001,
1.939440000000000E+009,-9.617241621017456E-001,1.075231358408928E-001,-9.617624772071840E-001,1.076395035839081E-001,
1.940400000000000E+009,-9.614767432212830E-001,1.093022897839546E-001,-9.614105427932741E-001,1.094412196707726E-001,
1.941360000000000E+009,-9.612570405006409E-001,1.111093908548355E-001,-9.613332355880739E-001,1.113313869810104E-001,
1.942320000000000E+009,-9.612381458282471E-001,1.128578707575798E-001,-9.611402389144901E-001,1.130434439468384E-001,
1.943280000000000E+009,-9.608071446418762E-001,1.145105957984924E-001,-9.608613063240052E-001,1.147160659599305E-001,
1.944240000000000E+009,-9.606714844703674E-001,1.164781972765923E-001,-9.606873038101198E-001,1.164135192060471E-001,
1.945200000000000E+009,-9.604117870330811E-001,1.180022805929184E-001,-9.603973773002625E-001,1.181062439775467E-001,
1.946160000000000E+009,-9.602654576301575E-001,1.195709556341171E-001,-9.602339031219486E-001,1.199416054964066E-001,
1.947120000000000E+009,-9.599031209945679E-001,1.214278191328049E-001,-9.600114136314393E-001,1.215435041832924E-001,
1.948080000000000E+009,-9.597595930099487E-001,1.231356486678124E-001,-9.597291774177553E-001,1.232652235221863E-001,
1.949040000000000E+009,-9.595324993133545E-001,1.247860938310623E-001,-9.594008879661562E-001,1.249382047438622E-001,
1.950000000000000E+009,-9.592760801315308E-001,1.265153437852860E-001,-9.592727256774905E-001,1.267990467453003E-001,
1.950960000000000E+009,-9.590483903884888E-001,1.284140497446060E-001,-9.589867685699465E-001,1.284551005077362E-001,
1.951920000000000E+009,-9.587072134017944E-001,1.299881935119629E-001,-9.587677663040162E-001,1.303045004558563E-001,
1.952880000000000E+009,-9.586808681488037E-001,1.318465769290924E-001,-9.586186067771915E-001,1.321845261478424E-001,
1.953840000000000E+009,-9.584125280380249E-001,1.337330043315888E-001,-9.583749275207522E-001,1.339410606575012E-001,
1.954800000000000E+009,-9.580098390579224E-001,1.350844800472260E-001,-9.581345984840395E-001,1.352806124925614E-001,
1.955760000000000E+009,-9.578601717948914E-001,1.367893815040588E-001,-9.579015819168093E-001,1.369557957315445E-001,
1.956720000000000E+009,-9.576625823974609E-001,1.386532336473465E-001,-9.577259372138978E-001,1.388062313175202E-001,
1.957680000000000E+009,-9.574750661849976E-001,1.402377486228943E-001,-9.574115659332279E-001,1.406381002330780E-001,
1.958640000000000E+009,-9.570998549461365E-001,1.421177089214325E-001,-9.571392746734621E-001,1.423901101779938E-001,
1.959600000000000E+009,-9.569946527481079E-001,1.439872384071350E-001,-9.567938680076601E-001,1.440900726175309E-001,
1.960560000000000E+009,-9.566123485565186E-001,1.458345055580139E-001,-9.564138654708864E-001,1.458152422237397E-001,
1.961520000000000E+009,-9.562821984291077E-001,1.473807990550995E-001,-9.561211030578614E-001,1.476192198228836E-001,
1.962480000000000E+009,-9.558244347572327E-001,1.488954722881317E-001,-9.557793445968630E-001,1.492391454982758E-001,
1.963440000000000E+009,-9.555841684341431E-001,1.507589370012283E-001,-9.555480975151064E-001,1.509594470500946E-001,
1.964400000000000E+009,-9.551543593406677E-001,1.524654626846314E-001,-9.551794902038575E-001,1.526822551870347E-001,
1.965360000000000E+009,-9.549224376678467E-001,1.542881131172180E-001,-9.548853861045841E-001,1.544105741691590E-001,
1.966320000000000E+009,-9.544335007667542E-001,1.559196859598160E-001,-9.543903122329714E-001,1.560156643962860E-001,
1.967280000000000E+009,-9.541925191879273E-001,1.574304699897766E-001,-9.540802308082583E-001,1.576647229671478E-001,
1.968240000000000E+009,-9.539563655853272E-001,1.593021452426910E-001,-9.538191547393803E-001,1.594249591684342E-001,
1.969200000000000E+009,-9.535291194915772E-001,1.610860973596573E-001,-9.535104851341250E-001,1.611521053552628E-001,
1.970160000000000E+009,-9.531034827232361E-001,1.625743061304092E-001,-9.531584121704103E-001,1.628392707633973E-001,
1.971120000000000E+009,-9.528027176856995E-001,1.643452793359757E-001,-9.527721999740603E-001,1.644417783927918E-001,
1.972080000000000E+009,-9.524266123771668E-001,1.661384403705597E-001,-9.523265865898133E-001,1.661064038133621E-001,
1.973040000000000E+009,-9.521082043647766E-001,1.676733791828156E-001,-9.520640183448793E-001,1.679699224424363E-001,
1.974000000000000E+009,-9.517304897308350E-001,1.693075001239777E-001,-9.516676092910767E-001,1.697256531143189E-001,
1.974960000000000E+009,-9.514297246932983E-001,1.712708324193955E-001,-9.512163120460511E-001,1.713480065107346E-001,
1.975920000000000E+009,-9.508970379829407E-001,1.728382259607315E-001,-9.508413263130191E-001,1.731228501892090E-001,
1.976880000000000E+009,-9.505652189254761E-001,1.746065765619278E-001,-9.504435202980045E-001,1.747783829641342E-001,
1.977840000000000E+009,-9.501001834869385E-001,1.762304157018662E-001,-9.499936030006410E-001,1.764067047166825E-001,
1.978800000000000E+009,-9.496983885765076E-001,1.780157536268234E-001,-9.496184097099307E-001,1.782319154453278E-001,
1.979760000000000E+009,-9.493390321731567E-001,1.796282976865768E-001,-9.491640763854982E-001,1.799036170196534E-001,
1.980720000000000E+009,-9.488710165023804E-001,1.810317188501358E-001,-9.489524951362611E-001,1.810561275625229E-001,
1.981680000000000E+009,-9.487623572349548E-001,1.818704456090927E-001,-9.486741947746278E-001,1.819536933422089E-001,
1.982640000000000E+009,-9.477317333221436E-001,1.863567531108856E-001,-9.476746342849733E-001,1.865125538730622E-001,
1.983600000000000E+009,-9.475007057189941E-001,1.875383704900742E-001,-9.473459987449648E-001,1.875189220237732E-001,
1.984560000000000E+009,-9.470169544219971E-001,1.881922185420990E-001,-9.469488812255861E-001,1.884076334285737E-001,
1.985520000000000E+009,-9.468477368354797E-001,1.893799006938934E-001,-9.466766922378541E-001,1.896589929056168E-001,
1.986480000000000E+009,-9.463617801666260E-001,1.910405606031418E-001,-9.461685305404666E-001,1.910261515665055E-001,
1.987440000000000E+009,-9.458910226821899E-001,1.925791054964066E-001,-9.458377081489566E-001,1.926905911874772E-001,
1.988400000000000E+009,-9.454211592674255E-001,1.942713856697083E-001,-9.453732966804506E-001,1.943406764411927E-001,
1.989360000000000E+009,-9.448829889297485E-001,1.959249824285507E-001,-9.448969059562684E-001,1.959466529417038E-001,
1.990320000000000E+009,-9.446505308151245E-001,1.974838376045227E-001,-9.445118478393556E-001,1.976410391569138E-001,
1.991280000000000E+009,-9.439892172813416E-001,1.990950703620911E-001,-9.439541349792483E-001,1.992276475334168E-001,
1.992240000000000E+009,-9.434809684753418E-001,2.009061425924301E-001,-9.434885148239136E-001,2.008361162805558E-001,
1.993200000000000E+009,-9.430055618286133E-001,2.024969309568405E-001,-9.430037922668458E-001,2.025692244863511E-001,
1.994160000000000E+009,-9.424749016761780E-001,2.039170712232590E-001,-9.424528141593934E-001,2.040798342943192E-001,
1.995120000000000E+009,-9.418681263923645E-001,2.056169658899307E-001,-9.419663659477237E-001,2.056425323867798E-001,
1.996080000000000E+009,-9.416821599006653E-001,2.073254883289337E-001,-9.415074197959903E-001,2.073714950275422E-001,
1.997040000000000E+009,-9.410150647163391E-001,2.090406119823456E-001,-9.410670488357547E-001,2.090423543453217E-001,
1.998000000000000E+009,-9.404489994049072E-001,2.105741202831268E-001,-9.405592763900759E-001,2.106581199979783E-001,
1.998960000000000E+009,-9.399975538253784E-001,2.119384109973908E-001,-9.399819542694095E-001,2.122020099639893E-001,
1.999920000000000E+009,-9.394096732139587E-001,2.135664522647858E-001,-9.393909440803530E-001,2.137526203298570E-001,
2.000880000000000E+009,-9.387658238410950E-001,2.149634808301926E-001,-9.387550115394594E-001,2.150531610345841E-001,
2.001840000000000E+009,-9.384796619415283E-001,2.168807834386826E-001,-9.382725858879092E-001,2.168196527910233E-001,
2.002800000000000E+009,-9.376965761184692E-001,2.186857461929321E-001,-9.376459510040286E-001,2.186747651576996E-001,
2.003760000000000E+009,-9.371228218078613E-001,2.204719781875610E-001,-9.370828661346438E-001,2.204679584646225E-001,
2.004720000000000E+009,-9.364293217658997E-001,2.222334742546082E-001,-9.364773760223392E-001,2.223361377382279E-001,
2.005680000000000E+009,-9.358249306678772E-001,2.235487401485443E-001,-9.358883057594299E-001,2.237425922298432E-001,
2.006640000000000E+009,-9.353796839714050E-001,2.251069545745850E-001,-9.353568404006959E-001,2.252166530609131E-001,
2.007600000000000E+009,-9.348091483116150E-001,2.266775518655777E-001,-9.347813947486878E-001,2.266178057670594E-001,
2.008560000000000E+009,-9.342240691184998E-001,2.280205935239792E-001,-9.341805036735538E-001,2.280448831081391E-001,
2.009520000000000E+009,-9.338232874870300E-001,2.294940948486328E-001,-9.336748268890383E-001,2.296372072267533E-001,
2.010480000000000E+009,-9.332607984542847E-001,2.309854030609131E-001,-9.331317221450809E-001,2.310440791177750E-001,
2.011440000000000E+009,-9.326981902122498E-001,2.322305589914322E-001,-9.326201882171632E-001,2.323481177902222E-001,
2.012400000000000E+009,-9.323609471321106E-001,2.338702082633972E-001,-9.322189040946962E-001,2.338884369611740E-001,
2.013360000000000E+009,-9.317045807838440E-001,2.354833334684372E-001,-9.317382977294926E-001,2.354296328926087E-001,
2.014320000000000E+009,-9.312579631805420E-001,2.368931174278259E-001,-9.312644284820559E-001,2.369707565641404E-001,
2.015280000000000E+009,-9.308208823204041E-001,2.382588982582092E-001,-9.307628906250003E-001,2.383803086185456E-001,
2.016240000000000E+009,-9.302498698234558E-001,2.399142235517502E-001,-9.303229618835451E-001,2.399151698303223E-001,
2.017200000000000E+009,-9.300208091735840E-001,2.415825575590134E-001,-9.299706876754763E-001,2.415810299539566E-001,
2.018160000000000E+009,-9.296619892120361E-001,2.430291771888733E-001,-9.294758643150332E-001,2.431115897846223E-001,
2.019120000000000E+009,-9.290576577186585E-001,2.444643974304199E-001,-9.289926152992249E-001,2.445105368375779E-001,
2.020080000000000E+009,-9.284153580665588E-001,2.459764629602432E-001,-9.285281480979920E-001,2.458759406471253E-001,
2.021040000000000E+009,-9.279621839523315E-001,2.474152743816376E-001,-9.280509042167665E-001,2.475040083122254E-001,
2.022000000000000E+009,-9.274504184722900E-001,2.490106225013733E-001,-9.275891399955751E-001,2.490091737890244E-001,
2.022960000000000E+009,-9.269925355911255E-001,2.505060136318207E-001,-9.270464337158205E-001,2.505303731536865E-001,
2.023920000000000E+009,-9.265869259834290E-001,2.521554231643677E-001,-9.266169641494754E-001,2.521873601341249E-001,
2.024880000000000E+009,-9.260417819023132E-001,2.537344992160797E-001,-9.262141260528567E-001,2.537155850982666E-001,
2.025840000000000E+009,-9.256326556205750E-001,2.552054524421692E-001,-9.257086461830140E-001,2.552472432136537E-001,
2.026800000000000E+009,-9.251340627670288E-001,2.566623091697693E-001,-9.251520327949525E-001,2.568454745769501E-001,
2.027760000000000E+009,-9.244275689125061E-001,2.583889961242676E-001,-9.246047674560549E-001,2.583362376308442E-001,
