% Version 1.00
%
%freq[Hz],re:Trc14_S21,im:Trc14_S21,re:cap3_copo1_air_S21,im:cap3_copo1_air_S21,re:cap3_copo1_water_S21,im:cap3_copo1_water_S21,re:cap3_copo1_0_1plstc_S21,im:cap3_copo1_0_1plstc_S21,re:cap3_copo1_0_5plstc_S21,im:cap3_copo1_0_5plstc_S21,re:cap3_copo1_1plstc_S21,im:cap3_copo1_1plstc_S21,
1.150000000000000E+009,-3.227403163909912E-001,-9.162071943283081E-001,-2.633160254611817E-001,-9.224101213494874E-001,-3.219863112519497E-001,-9.161886231508072E-001,-3.225680037649545E-001,-9.160401003597847E-001,-3.228871011257172E-001,-9.161567854881290E-001,-3.228890051428339E-001,-9.161875873283913E-001,
1.155000000000000E+009,-3.306797742843628E-001,-9.132704734802246E-001,-2.763994219980012E-001,-9.200153282577213E-001,-3.298450799892473E-001,-9.131379017546732E-001,-3.304463375918544E-001,-9.130512667624677E-001,-3.306485340595246E-001,-9.131075842857362E-001,-3.306867852833659E-001,-9.131383135031597E-001,
1.160000000000000E+009,-3.389161825180054E-001,-9.111576676368713E-001,-2.888794705235749E-001,-9.179546853007204E-001,-3.380057085968208E-001,-9.109104062529876E-001,-3.386383840573651E-001,-9.107442069899501E-001,-3.388293380260468E-001,-9.109199554443361E-001,-3.388037278862880E-001,-9.109242142826889E-001,
1.165000000000000E+009,-3.469277322292328E-001,-9.076307415962219E-001,-3.008551657455597E-001,-9.146866728768008E-001,-3.461168219056260E-001,-9.075114339496795E-001,-3.467466509052727E-001,-9.073764219582003E-001,-3.468930530071259E-001,-9.075026884078982E-001,-3.469720805130891E-001,-9.075113635124096E-001,
1.170000000000000E+009,-3.552397787570953E-001,-9.040303230285645E-001,-3.123926298826752E-001,-9.111399434932253E-001,-3.545303947122188E-001,-9.038952476036397E-001,-3.551188473520276E-001,-9.037978754501230E-001,-3.553237736225128E-001,-9.038139728546144E-001,-3.553579283587787E-001,-9.039025370345708E-001,
1.175000000000000E+009,-3.639266788959503E-001,-9.011540412902832E-001,-3.238327089290772E-001,-9.086414787373355E-001,-3.630471753166492E-001,-9.010888579992534E-001,-3.636301732774945E-001,-9.009514985372372E-001,-3.638663261413574E-001,-9.010764229774477E-001,-3.639187615020939E-001,-9.011335500474050E-001,
1.180000000000000E+009,-3.711506426334381E-001,-8.983243107795715E-001,-3.336341268851625E-001,-9.057721993290407E-001,-3.704216204100790E-001,-8.982408852757488E-001,-3.709183785115314E-001,-8.981812276241100E-001,-3.711420031547547E-001,-8.982553792953494E-001,-3.712209065506233E-001,-8.982954349501650E-001,
1.185000000000000E+009,-3.790620863437653E-001,-8.945525884628296E-001,-3.438284281027375E-001,-9.020561907969362E-001,-3.782500420230460E-001,-8.944939830292047E-001,-3.787577931828502E-001,-8.945088801394363E-001,-3.789382039546968E-001,-8.944622939109805E-001,-3.790875365492901E-001,-8.945236478163227E-001,
1.190000000000000E+009,-3.862145245075226E-001,-8.914158940315247E-001,-3.531159591493837E-001,-8.988329553961489E-001,-3.855141134552543E-001,-8.913323930145818E-001,-3.860871457393866E-001,-8.913424696464345E-001,-3.862473051548005E-001,-8.913718561172488E-001,-3.863488997305921E-001,-8.913667141990729E-001,
1.195000000000000E+009,-3.942131102085114E-001,-8.878245353698731E-001,-3.627470785511323E-001,-8.952921072323611E-001,-3.934096368032150E-001,-8.878608803806912E-001,-3.939172782690546E-001,-8.878582179885728E-001,-3.941220701694489E-001,-8.879288015365602E-001,-3.941717785489644E-001,-8.879275603048950E-001,
