% Version 1.00
%
%freq[Hz],re:Trc14_S21,im:Trc14_S21,re:Cap3_duto1_air_S21,im:Cap3_duto1_air_S21,re:Cap3_duto1_air_water1_S21,im:Cap3_duto1_air_water1_S21,re:Cap3_duto1_1plstc_S21,im:Cap3_duto1_1plstc_S21,re:Cap3_duto1_0_1plstc_S21,im:Cap3_duto1_0_1plstc_S21,re:Cap3_duto1_0_5plstc_S21,im:Cap3_duto1_0_5plstc_S21,
1.120000000000000E+009,-2.251517588089873E-001,-9.314711227012283E-001,-1.907778855285645E-001,-9.217067079867557E-001,-2.245525594597804E-001,-9.315540956825282E-001,-2.249450386465079E-001,-9.313922855533448E-001,-2.249087230714972E-001,-9.314879989670390E-001,-2.249375794613147E-001,-9.314403280123029E-001,
1.125000000000000E+009,-2.370497149058264E-001,-9.302968357790732E-001,-2.085256587184907E-001,-9.240962391738894E-001,-2.365542205556154E-001,-9.304193267331701E-001,-2.369233400284681E-001,-9.302807640117524E-001,-2.368831458309670E-001,-9.303218064562694E-001,-2.369221045123159E-001,-9.302557699670091E-001,
1.130000000000000E+009,-2.488390430690173E-001,-9.290965388562207E-001,-2.247287472866059E-001,-9.251533135508731E-001,-2.483882848278368E-001,-9.292491567195812E-001,-2.487448113904511E-001,-9.291447693505405E-001,-2.487775418550602E-001,-9.291571273219720E-001,-2.486723330280723E-001,-9.290881243168025E-001,
1.135000000000000E+009,-2.603713089657955E-001,-9.274622726047033E-001,-2.397052238317109E-001,-9.251027906666567E-001,-2.599030435218282E-001,-9.276610373798830E-001,-2.602358925059707E-001,-9.275626257843628E-001,-2.602523477107902E-001,-9.275940998915399E-001,-2.602641276923428E-001,-9.274725303328986E-001,
1.140000000000000E+009,-2.706377888844796E-001,-9.252729912063431E-001,-2.528446517345430E-001,-9.239918302201845E-001,-2.702803487759141E-001,-9.255250336660227E-001,-2.705909296508947E-001,-9.253641249943112E-001,-2.705859423307398E-001,-9.253553940129415E-001,-2.705883669641644E-001,-9.252635681358021E-001,
1.145000000000000E+009,-2.810832794059155E-001,-9.234188846076815E-001,-2.654895598281861E-001,-9.228753049845888E-001,-2.808137634685400E-001,-9.236858646043517E-001,-2.810564081600011E-001,-9.235679036118516E-001,-2.810280919593202E-001,-9.235671231064007E-001,-2.810086345983897E-001,-9.234070316301495E-001,
1.150000000000000E+009,-2.913177525925326E-001,-9.204706928666070E-001,-2.775864908986664E-001,-9.204693914283754E-001,-2.910172355186526E-001,-9.208571098333345E-001,-2.913203307648828E-001,-9.206792261956160E-001,-2.912457675587481E-001,-9.206646116569247E-001,-2.911935473732191E-001,-9.205658209536909E-001,
1.155000000000000E+009,-3.009913413222287E-001,-9.179084307005230E-001,-2.888708921160890E-001,-9.182189835853579E-001,-3.008458653757049E-001,-9.181898019867580E-001,-3.010910466952224E-001,-9.179871116221313E-001,-3.009940517955507E-001,-9.179718937551543E-001,-3.009261045592033E-001,-9.178558834231133E-001,
1.160000000000000E+009,-3.108741489264223E-001,-9.158416179157785E-001,-2.999637072823335E-001,-9.163664598904422E-001,-3.106993712102759E-001,-9.160877778067582E-001,-3.109557468030099E-001,-9.159550741183139E-001,-3.108473399592372E-001,-9.158899645606513E-001,-3.108278194613174E-001,-9.158422765414729E-001,
1.165000000000000E+009,-3.206144988619264E-001,-9.126460604801776E-001,-3.106971248149110E-001,-9.134107438325503E-001,-3.203239196313639E-001,-9.128959877679470E-001,-3.206082896130750E-001,-9.127282786200431E-001,-3.205171765295407E-001,-9.127602832041371E-001,-3.204900951269906E-001,-9.126452807263007E-001,
