% Version 1.00
%
%freq[Hz],re:Trc14_S21,im:Trc14_S21,re:Cap1_duto1_0_1plstc_S21,im:Cap1_duto1_0_1plstc_S21,re:Cap1_duto1_0_5plstc_S21,im:Cap1_duto1_0_5plstc_S21,re:Cap1_duto1_0_75plstc_S21,im:Cap1_duto1_0_75plstc_S21,re:Cap1_duto1_1plstc_S21,im:Cap1_duto1_1plstc_S21,
1.140000000000000E+009,-2.702044880018675E-001,-9.253443656578096E-001,-2.703471359292939E-001,-9.258557314508547E-001,-2.683913185675819E-001,-9.255272211391167E-001,-2.697928883845887E-001,-9.252724944211550E-001,-2.701290795078278E-001,-9.252346738929750E-001,
1.145000000000000E+009,-2.807333091027119E-001,-9.235008065229077E-001,-2.809036881700134E-001,-9.239729831603031E-001,-2.791544563720559E-001,-9.237265641919891E-001,-2.803678279312434E-001,-9.235049456554141E-001,-2.806577876663208E-001,-9.234588491668703E-001,
1.150000000000000E+009,-2.909551444490551E-001,-9.206417725243004E-001,-2.911643272913331E-001,-9.210865956496097E-001,-2.896079491741516E-001,-9.208180983389160E-001,-2.907183320167275E-001,-9.206005439257058E-001,-2.909872623043061E-001,-9.205670550537113E-001,
1.155000000000000E+009,-3.007443074582170E-001,-9.179954199903577E-001,-3.009517587737428E-001,-9.183866531958131E-001,-2.995612376581975E-001,-9.181725960794247E-001,-3.005553563150755E-001,-9.179585150769909E-001,-3.008376043453217E-001,-9.179405113792423E-001,
1.160000000000000E+009,-3.106420504090584E-001,-9.160377292118769E-001,-3.108319352381379E-001,-9.163332949452577E-001,-3.094850750529608E-001,-9.162643239211838E-001,-3.105239352235952E-001,-9.158835411792540E-001,-3.107343338947296E-001,-9.159295967102054E-001,
1.165000000000000E+009,-3.203732868386639E-001,-9.127976151550704E-001,-3.205393081032258E-001,-9.131549136177309E-001,-3.193088162393082E-001,-9.130533283705513E-001,-3.201876290870888E-001,-9.127416649965867E-001,-3.204026532936097E-001,-9.127071706237795E-001,
1.170000000000000E+009,-3.301112096487019E-001,-9.094321122389852E-001,-3.302724369670136E-001,-9.097601325982365E-001,-3.291791715307337E-001,-9.096435994253610E-001,-3.299285514734656E-001,-9.094101536531878E-001,-3.301697132301332E-001,-9.093474826011659E-001,
1.175000000000000E+009,-3.399726448677746E-001,-9.070076448424601E-001,-3.401585602392671E-001,-9.073023295280887E-001,-3.391889647098596E-001,-9.072506295785874E-001,-3.398402573907283E-001,-9.069091417319859E-001,-3.400912578582764E-001,-9.068844816780092E-001,
1.180000000000000E+009,-3.486935595389760E-001,-9.043387550155484E-001,-3.488534507022523E-001,-9.046824783631959E-001,-3.479200062780846E-001,-9.046091439172176E-001,-3.485374824380944E-001,-9.042703834669204E-001,-3.487869898967744E-001,-9.042416383895877E-001,
1.185000000000000E+009,-3.580381987717453E-001,-9.006323019642807E-001,-3.581298545229981E-001,-9.009068674950563E-001,-3.572816827295899E-001,-9.008820175227840E-001,-3.578385835843320E-001,-9.005848522856684E-001,-3.580808343315126E-001,-9.004943937187198E-001,
1.190000000000000E+009,-3.663932674798153E-001,-8.972567086974956E-001,-3.665429820789032E-001,-8.975837377031131E-001,-3.657724201536282E-001,-8.976161814669125E-001,-3.662251616715120E-001,-8.972681880888711E-001,-3.664500911827088E-001,-8.971918926773073E-001,
