% Version 1.00
%
%freq[Hz],re:Trc14_S21,im:Trc14_S21,re:cap2_copo1_0_1plstc_S21,im:cap2_copo1_0_1plstc_S21,re:cap2_copo1_0_5plstc_S21,im:cap2_copo1_0_5plstc_S21,re:cap2_copo1_1plstc_S21,im:cap2_copo1_1plstc_S21,
1.130000000000000E+009,-2.920784102951964E-001,-9.263576469680733E-001,-2.912661405156070E-001,-9.268379106799778E-001,-2.911443112252397E-001,-9.264298887952621E-001,-2.920665299588855E-001,-9.263157212117942E-001,
1.135000000000000E+009,-3.003328828466162E-001,-9.238958358298628E-001,-2.995369039558419E-001,-9.243904436730487E-001,-2.994450011595188E-001,-9.239200303723132E-001,-3.003360722114482E-001,-9.238699867637360E-001,
1.140000000000000E+009,-3.078998399764611E-001,-9.210877457897720E-001,-3.070674014688893E-001,-9.216398777703225E-001,-3.070381533788391E-001,-9.211515934784708E-001,-3.079467945859806E-001,-9.210258820124924E-001,
1.145000000000000E+009,-3.159456121936508E-001,-9.187299869339419E-001,-3.151115080417475E-001,-9.192923511161196E-001,-3.150793260117099E-001,-9.188286076108277E-001,-3.159438057040459E-001,-9.187046132619938E-001,
1.150000000000000E+009,-3.239198928677604E-001,-9.154259660381359E-001,-3.230910828063595E-001,-9.159696660039148E-001,-3.230562354232146E-001,-9.154846406588300E-001,-3.239321108096845E-001,-9.154624684327358E-001,
1.155000000000000E+009,-3.318025063343815E-001,-9.124127946550356E-001,-3.309781844039422E-001,-9.130116372018458E-001,-3.308939069545842E-001,-9.124299768744988E-001,-3.318109594319791E-001,-9.123849617082178E-001,
1.160000000000000E+009,-3.399151163072683E-001,-9.100909834013693E-001,-3.391273457555544E-001,-9.107069460551623E-001,-3.390456339008208E-001,-9.102047906658127E-001,-3.399658187419467E-001,-9.100905447789844E-001,
1.165000000000000E+009,-3.480812322542287E-001,-9.067037865021993E-001,-3.472611781578037E-001,-9.072865591761177E-001,-3.471951707240769E-001,-9.068204427838427E-001,-3.480673176856383E-001,-9.067050652045243E-001,
1.170000000000000E+009,-3.564392256033731E-001,-9.030491609502815E-001,-3.556577752411457E-001,-9.037116720763192E-001,-3.555652387407119E-001,-9.032156406530989E-001,-3.564506939610199E-001,-9.030839008282592E-001,
1.175000000000000E+009,-3.650379317964935E-001,-9.002510311560709E-001,-3.641933003424751E-001,-9.008834188249759E-001,-3.641578686753025E-001,-9.003942687530340E-001,-3.650666953612581E-001,-9.002307689295830E-001,
1.180000000000000E+009,-3.723728615918736E-001,-8.974025021498633E-001,-3.714696662554054E-001,-8.980268246307580E-001,-3.714535776736359E-001,-8.975009335850055E-001,-3.724122970084292E-001,-8.973973373205307E-001,
1.185000000000000E+009,-3.802447060904903E-001,-8.935585918005239E-001,-3.793398230785604E-001,-8.942523664780714E-001,-3.792795998175634E-001,-8.936740197334537E-001,-3.802432235916949E-001,-8.935259894023471E-001,
1.190000000000000E+009,-3.874369927259577E-001,-8.902704967822970E-001,-3.865488280462494E-001,-8.910883649757794E-001,-3.865212387632416E-001,-8.904720130838967E-001,-3.874266563976911E-001,-8.902856538065249E-001,
1.195000000000000E+009,-3.952172640770135E-001,-8.868484720864158E-001,-3.944269874381506E-001,-8.876519877328510E-001,-3.942929988635324E-001,-8.869960999828163E-001,-3.952020813968738E-001,-8.867926454380571E-001,
1.200000000000000E+009,-4.032106521884722E-001,-8.838470214532251E-001,-4.024564691407226E-001,-8.846467280121408E-001,-4.022889245378131E-001,-8.840286593590013E-001,-4.032694741324863E-001,-8.838419172120463E-001,
1.205000000000000E+009,-4.105777145328501E-001,-8.808631470691231E-001,-4.098166534120036E-001,-8.816236916176223E-001,-4.096649246764681E-001,-8.810099104306292E-001,-4.105575330473019E-001,-8.808577808758858E-001,
1.210000000000000E+009,-4.184564885475768E-001,-8.771934362290106E-001,-4.176881564873728E-001,-8.780007769609739E-001,-4.175907875526351E-001,-8.773716624460287E-001,-4.184897242324041E-001,-8.771582556749167E-001,
1.215000000000000E+009,-4.261542537195496E-001,-8.736874935421305E-001,-4.253538378567413E-001,-8.744855678155853E-001,-4.252278412161765E-001,-8.738158648119232E-001,-4.261568210761967E-001,-8.736338334328853E-001,
1.220000000000000E+009,-4.334655402814250E-001,-8.696548949045954E-001,-4.327252839533803E-001,-8.704829645223234E-001,-4.325120088092352E-001,-8.698216322710923E-001,-4.334819070941916E-001,-8.696454301015258E-001,
1.225000000000000E+009,-4.415534074304230E-001,-8.660140585814543E-001,-4.408131220230596E-001,-8.668023963412799E-001,-4.405376412834096E-001,-8.661777810367562E-001,-4.415144936749773E-001,-8.659064481086373E-001,
1.230000000000000E+009,-4.491242731253670E-001,-8.616137095485867E-001,-4.483951782125573E-001,-8.624363850403490E-001,-4.481298871944841E-001,-8.618565390249273E-001,-4.491452200560857E-001,-8.616218081201367E-001,
1.235000000000000E+009,-4.568893548361787E-001,-8.576181098695509E-001,-4.562206490832110E-001,-8.584919998774920E-001,-4.559789574747505E-001,-8.578929892116410E-001,-4.569611733494911E-001,-8.576664877289846E-001,
1.240000000000000E+009,-4.647924930314845E-001,-8.530284306033364E-001,-4.641561763796309E-001,-8.538160227611018E-001,-4.638439466214147E-001,-8.532564688571694E-001,-4.648948648502790E-001,-8.529532571316111E-001,
1.245000000000000E+009,-4.729258136643131E-001,-8.487764026589753E-001,-4.721696838054024E-001,-8.496055696825655E-001,-4.719539591937552E-001,-8.490201106499233E-001,-4.729657073102496E-001,-8.487302876219058E-001,
1.250000000000000E+009,-4.802563926078237E-001,-8.446219534339134E-001,-4.795095585533565E-001,-8.454778985089906E-001,-4.792776819508531E-001,-8.448896437805286E-001,-4.802796633312563E-001,-8.445992022460819E-001,
1.255000000000000E+009,-4.876621152391656E-001,-8.406683098864022E-001,-4.869450723402312E-001,-8.415280859680117E-001,-4.867046465218280E-001,-8.410163449026789E-001,-4.876882877829877E-001,-8.406589329949566E-001,
1.260000000000000E+009,-4.956656122906497E-001,-8.358163990938858E-001,-4.949383007555998E-001,-8.366273573883841E-001,-4.946409318112736E-001,-8.361600485323687E-001,-4.956331218471717E-001,-8.357852211286502E-001,
1.265000000000000E+009,-5.020444800358940E-001,-8.320955681094457E-001,-5.013469225083999E-001,-8.329411926438112E-001,-5.011041606984340E-001,-8.324183424746970E-001,-5.021190389459445E-001,-8.320094399867737E-001,
1.270000000000000E+009,-5.096035672165539E-001,-8.274504023511609E-001,-5.088842335768022E-001,-8.282933676919202E-001,-5.086522454208523E-001,-8.279028984154671E-001,-5.096089028121285E-001,-8.274030944336988E-001,
1.275000000000000E+009,-5.160191714167066E-001,-8.229688526178489E-001,-5.152821246682677E-001,-8.238667490334410E-001,-5.150644696585154E-001,-8.234123873398358E-001,-5.160036412438784E-001,-8.229619433648868E-001,
1.280000000000000E+009,-5.226339570448855E-001,-8.184719939786204E-001,-5.219087731616232E-001,-8.194505300007136E-001,-5.216886924008568E-001,-8.189310119271671E-001,-5.226619331494800E-001,-8.184796015512934E-001,
1.285000000000000E+009,-5.292822678237712E-001,-8.142593529978537E-001,-5.285482611922689E-001,-8.151512414559369E-001,-5.284323246803068E-001,-8.146740959149534E-001,-5.292933156787620E-001,-8.142163067112894E-001,
1.290000000000000E+009,-5.360746813411647E-001,-8.094314232896537E-001,-5.353894855369965E-001,-8.104135411537219E-001,-5.351759477623255E-001,-8.099100071475048E-001,-5.361344990042387E-001,-8.094225641474196E-001,
1.295000000000000E+009,-5.421449478429101E-001,-8.047014764928949E-001,-5.414676262830727E-001,-8.056822967950185E-001,-5.413208592029086E-001,-8.051905121728606E-001,-5.421580177262734E-001,-8.046838712761980E-001,
1.300000000000000E+009,-5.487540184575235E-001,-7.997336645738881E-001,-5.479510661629170E-001,-8.007613283022537E-001,-5.478971723470864E-001,-8.001632529706829E-001,-5.487119399165485E-001,-7.996226937578904E-001,
1.305000000000000E+009,-5.543336356424315E-001,-7.949983622475041E-001,-5.537435914563796E-001,-7.961102777666527E-001,-5.535368342852576E-001,-7.955202675093779E-001,-5.544228674536043E-001,-7.949711084298218E-001,
1.310000000000000E+009,-5.606649368661149E-001,-7.903511385999771E-001,-5.599638496245827E-001,-7.914062871028760E-001,-5.597605740670796E-001,-7.908592027738988E-001,-5.606487768424509E-001,-7.903024270558621E-001,
1.315000000000000E+009,-5.662691678553353E-001,-7.856901159703315E-001,-5.656429999193657E-001,-7.867502475729571E-001,-5.654493458338978E-001,-7.861306830684214E-001,-5.663230634764754E-001,-7.856491375089753E-001,
1.320000000000000E+009,-5.727585915639016E-001,-7.813553400107367E-001,-5.720611094403584E-001,-7.824153849045629E-001,-5.718457698737767E-001,-7.818167499247765E-001,-5.727147021234498E-001,-7.813145548929321E-001,
1.325000000000000E+009,-5.790736871781682E-001,-7.767004869825881E-001,-5.784793662576957E-001,-7.777647208707733E-001,-5.782042668685822E-001,-7.771821231525136E-001,-5.790714001035436E-001,-7.766357731137354E-001,
1.330000000000000E+009,-5.853695045608651E-001,-7.721666749708539E-001,-5.848301517418973E-001,-7.732855865165013E-001,-5.845515212179138E-001,-7.726213377027549E-001,-5.854591926466166E-001,-7.721424751851452E-001,
1.335000000000000E+009,-5.911515153594666E-001,-7.673791047846343E-001,-5.906389126885081E-001,-7.684271111130809E-001,-5.903313901838134E-001,-7.677847362455579E-001,-5.911882412119726E-001,-7.673072994818529E-001,
1.340000000000000E+009,-5.975220769739430E-001,-7.623881639670368E-001,-5.969821781023547E-001,-7.634857803701316E-001,-5.966332317487629E-001,-7.628875459580030E-001,-5.974725459081309E-001,-7.623332377569965E-001,
1.345000000000000E+009,-6.036888434919037E-001,-7.575059849531762E-001,-6.031946565588360E-001,-7.586826549473243E-001,-6.028021437803581E-001,-7.580451325646523E-001,-6.037111702542360E-001,-7.574820883185363E-001,
1.350000000000000E+009,-6.096789199586441E-001,-7.530882186833905E-001,-6.091980119829377E-001,-7.541894468227315E-001,-6.088505462729136E-001,-7.535606358012152E-001,-6.096667041983122E-001,-7.530466982781660E-001,
1.355000000000000E+009,-6.150891303450171E-001,-7.485853412795177E-001,-6.146186118292838E-001,-7.496856196057907E-001,-6.142095520183161E-001,-7.490972115841672E-001,-6.150338294827897E-001,-7.484878393886529E-001,
1.360000000000000E+009,-6.216149257863018E-001,-7.433987269764405E-001,-6.211318591723983E-001,-7.445154424327189E-001,-6.207942424624764E-001,-7.439727626793157E-001,-6.216485549396401E-001,-7.433731371009174E-001,
1.365000000000000E+009,-6.282958358721105E-001,-7.389524067903357E-001,-6.278412870462667E-001,-7.400244885301962E-001,-6.274067682153740E-001,-7.395066078186748E-001,-6.282857011632836E-001,-7.389030562952297E-001,
1.370000000000000E+009,-6.347864211265110E-001,-7.333404188281039E-001,-6.343497599840846E-001,-7.344810278600886E-001,-6.339458338328164E-001,-7.340439748855194E-001,-6.348209633897040E-001,-7.333842061035063E-001,
1.375000000000000E+009,-6.412762635705211E-001,-7.280984185495368E-001,-6.408388766152491E-001,-7.292330726757945E-001,-6.404483227814177E-001,-7.287251419361777E-001,-6.413285470330523E-001,-7.280700556078834E-001,
1.380000000000000E+009,-6.472609006650585E-001,-7.217180449401611E-001,-6.468483698165302E-001,-7.228683287065044E-001,-6.464232344629222E-001,-7.223879013554477E-001,-6.472462864733597E-001,-7.217057498190325E-001,
1.385000000000000E+009,-6.534261551941757E-001,-7.158094710025182E-001,-6.529719083640166E-001,-7.169460436056636E-001,-6.525379504537689E-001,-7.165033655887743E-001,-6.534568445927012E-001,-7.157891843150367E-001,
1.390000000000000E+009,-6.598836055430402E-001,-7.096517568977838E-001,-6.594675000091868E-001,-7.108022358045922E-001,-6.590352213203442E-001,-7.103503230856216E-001,-6.599122374132159E-001,-7.096285342134244E-001,
1.395000000000000E+009,-6.662515974456271E-001,-7.033014376350424E-001,-6.658210393142464E-001,-7.044039724991266E-001,-6.654505192482335E-001,-7.039699804571267E-001,-6.662822573738341E-001,-7.032855101587157E-001,
1.400000000000000E+009,-6.724707482240206E-001,-6.965632439986182E-001,-6.720996464205555E-001,-6.976644817864307E-001,-6.716562843325431E-001,-6.973024557922032E-001,-6.725021588546816E-001,-6.965380926321556E-001,
1.405000000000000E+009,-6.786901227556624E-001,-6.908058538904266E-001,-6.782569738868050E-001,-6.919984608983937E-001,-6.778760647082378E-001,-6.915144712750959E-001,-6.787308750960135E-001,-6.907820343042359E-001,
1.410000000000000E+009,-6.854179684521371E-001,-6.844605031991253E-001,-6.850022851587789E-001,-6.856898667415987E-001,-6.847342597292268E-001,-6.852018047167912E-001,-6.855363714861820E-001,-6.845184991318578E-001,
1.415000000000000E+009,-6.911880571670654E-001,-6.778089226282477E-001,-6.908366840670760E-001,-6.790836032934786E-001,-6.904274746841748E-001,-6.786103245697694E-001,-6.912692288643026E-001,-6.778111680546403E-001,
1.420000000000000E+009,-6.975925451027062E-001,-6.712005204506993E-001,-6.972237600675413E-001,-6.723717354493038E-001,-6.968691584079041E-001,-6.719826442605413E-001,-6.976737199063207E-001,-6.711510959903223E-001,
