% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:ag_S21,im:ag_S21,re:pl_0_1_S21,im:pl_0_1_S21,re:pl_0_5_S21,im:pl_0_5_S21,
1.440000000000000E+009,-7.275674939155579E-001,-6.487374901771545E-001,-7.267375993173968E-001,-6.494798029785998E-001,-7.268769741058350E-001,-6.494701504707336E-001,-7.270352205657960E-001,-6.492337119865418E-001,
1.445000000000000E+009,-7.329720854759216E-001,-6.426562070846558E-001,-7.323052686074233E-001,-6.433221663253870E-001,-7.321565151214600E-001,-6.431645750999451E-001,-7.325906476020814E-001,-6.430686234283449E-001,
1.450000000000000E+009,-7.385812401771545E-001,-6.362767815589905E-001,-7.379251719633484E-001,-6.371381144782419E-001,-7.380732893943787E-001,-6.369771361351013E-001,-7.382729021644593E-001,-6.368586030769349E-001,
1.455000000000000E+009,-7.441935539245606E-001,-6.302309036254883E-001,-7.436158244569778E-001,-6.309049780086683E-001,-7.435017228126526E-001,-6.308079957962036E-001,-7.438661529541016E-001,-6.306586199951173E-001,
1.460000000000000E+009,-7.495763897895813E-001,-6.240807175636292E-001,-7.488124161707042E-001,-6.246128772729853E-001,-7.487665414810181E-001,-6.245163083076477E-001,-7.491023958206179E-001,-6.243917566871644E-001,
1.465000000000000E+009,-7.541958689689636E-001,-6.179391741752625E-001,-7.535107605906136E-001,-6.185364435412737E-001,-7.536294460296631E-001,-6.185385584831238E-001,-7.538238550567629E-001,-6.183463834762575E-001,
1.470000000000000E+009,-7.590292692184448E-001,-6.117829084396362E-001,-7.585985785984231E-001,-6.124276278563315E-001,-7.586609721183777E-001,-6.123447418212891E-001,-7.589248054695131E-001,-6.121730379867555E-001,
1.475000000000000E+009,-7.643771171569824E-001,-6.052664518356323E-001,-7.636906075370873E-001,-6.059992010940347E-001,-7.638348340988159E-001,-6.059629321098328E-001,-7.640049245834353E-001,-6.057283548164368E-001,
1.480000000000000E+009,-7.694582939147949E-001,-5.990802049636841E-001,-7.689101584780760E-001,-5.997499682185477E-001,-7.689968347549439E-001,-5.997958779335022E-001,-7.692730042266848E-001,-5.994545544052125E-001,
1.485000000000000E+009,-7.746521830558777E-001,-5.921010375022888E-001,-7.740354512413046E-001,-5.928301794119650E-001,-7.739803194999695E-001,-5.928835868835449E-001,-7.742717708396913E-001,-5.926708542060853E-001,
1.490000000000000E+009,-7.798197269439697E-001,-5.858146548271179E-001,-7.790840804309422E-001,-5.865308453545263E-001,-7.791505455970764E-001,-5.866308212280273E-001,-7.794452893066409E-001,-5.863049052047730E-001,
1.495000000000000E+009,-7.846805453300476E-001,-5.792135000228882E-001,-7.839858466047358E-001,-5.799056413068249E-001,-7.841550111770630E-001,-5.800945162773132E-001,-7.843817281913760E-001,-5.797190477752686E-001,
1.500000000000000E+009,-7.897832393646240E-001,-5.725556612014771E-001,-7.890323803910512E-001,-5.734123681076553E-001,-7.892026305198669E-001,-5.733889937400818E-001,-7.894444284820559E-001,-5.731300697898866E-001,
1.505000000000000E+009,-7.946354746818543E-001,-5.661730766296387E-001,-7.940789937825852E-001,-5.669196883254133E-001,-7.942714095115662E-001,-5.667917132377625E-001,-7.943600884819033E-001,-5.666287585449220E-001,
1.510000000000000E+009,-7.997234463691711E-001,-5.594546198844910E-001,-7.991033985325089E-001,-5.602455407392010E-001,-7.992008924484253E-001,-5.601871609687805E-001,-7.994785140800478E-001,-5.599724417304994E-001,
1.515000000000000E+009,-8.045503497123718E-001,-5.528551340103149E-001,-8.037257233041311E-001,-5.535298902579395E-001,-8.041026592254639E-001,-5.535975098609924E-001,-8.040934792327882E-001,-5.532677799797059E-001,
1.520000000000000E+009,-8.092799782752991E-001,-5.460916161537170E-001,-8.086685259409148E-001,-5.468135787726786E-001,-8.087046742439270E-001,-5.466889739036560E-001,-8.089564035987855E-001,-5.464829608726503E-001,
1.525000000000000E+009,-8.136609196662903E-001,-5.395568013191223E-001,-8.129916234007728E-001,-5.402149052089510E-001,-8.132037520408630E-001,-5.401627421379089E-001,-8.133313132095338E-001,-5.399086940574647E-001,
1.530000000000000E+009,-8.179692625999451E-001,-5.324121713638306E-001,-8.172727092564842E-001,-5.331939688628503E-001,-8.173551559448242E-001,-5.330612659454346E-001,-8.176140202331546E-001,-5.328936059761049E-001,
1.535000000000000E+009,-8.219442963600159E-001,-5.256014466285706E-001,-8.214452158187415E-001,-5.264345202126917E-001,-8.214269876480103E-001,-5.263949036598206E-001,-8.216535128593446E-001,-5.261121896743776E-001,
1.540000000000000E+009,-8.256349563598633E-001,-5.186265707015991E-001,-8.251760445165640E-001,-5.196141403041006E-001,-8.253210186958313E-001,-5.194772481918335E-001,-8.255127072334292E-001,-5.191373155403138E-001,
1.545000000000000E+009,-8.296004533767700E-001,-5.115766525268555E-001,-8.289643477180686E-001,-5.125188084713415E-001,-8.290892839431763E-001,-5.122309923171997E-001,-8.293443970298768E-001,-5.120563187026979E-001,
1.550000000000000E+009,-8.334311246871948E-001,-5.044311881065369E-001,-8.329456043573339E-001,-5.055340489378377E-001,-8.330124020576477E-001,-5.055308938026428E-001,-8.332255327033998E-001,-5.051096954727173E-001,
1.555000000000000E+009,-8.371348381042481E-001,-4.976799488067627E-001,-8.367303745323765E-001,-4.988159571658571E-001,-8.369396328926086E-001,-4.986405670642853E-001,-8.370469777488711E-001,-4.982787867069245E-001,
1.560000000000000E+009,-8.411654233932495E-001,-4.904926419258118E-001,-8.407269595414841E-001,-4.917986775349389E-001,-8.408571481704712E-001,-4.914753437042236E-001,-8.410928357696537E-001,-4.911619918918611E-001,
1.565000000000000E+009,-8.446188569068909E-001,-4.827995300292969E-001,-8.442823366026433E-001,-4.844106651429525E-001,-8.444662094116211E-001,-4.843351840972900E-001,-8.444841625976565E-001,-4.837138529300690E-001,
1.570000000000000E+009,-8.478872776031494E-001,-4.756900668144226E-001,-8.477520079375471E-001,-4.773017382398817E-001,-8.479350209236145E-001,-4.771198928356171E-001,-8.479612672996524E-001,-4.765184328365327E-001,
1.575000000000000E+009,-8.515142798423767E-001,-4.680040776729584E-001,-8.513538031520309E-001,-4.699688598874031E-001,-8.513860106468201E-001,-4.696111679077148E-001,-8.515457415771487E-001,-4.690754950237275E-001,
1.580000000000000E+009,-8.544837832450867E-001,-4.607848227024078E-001,-8.546117841441557E-001,-4.627573115423496E-001,-8.546808958053589E-001,-4.626458287239075E-001,-8.547953410339357E-001,-4.617924120807648E-001,
1.585000000000000E+009,-8.573654294013977E-001,-4.538220167160034E-001,-8.578841201707423E-001,-4.560042549736406E-001,-8.580248951911926E-001,-4.555826783180237E-001,-8.579679983901980E-001,-4.549249101257326E-001,
1.590000000000000E+009,-8.601514101028442E-001,-4.465143084526062E-001,-8.612406157387865E-001,-4.492840038951118E-001,-8.613080978393555E-001,-4.488057494163513E-001,-8.611823167800905E-001,-4.479664733028413E-001,
1.595000000000000E+009,-8.630105853080750E-001,-4.397198557853699E-001,-8.646360924006364E-001,-4.424552956099857E-001,-8.648122549057007E-001,-4.419727027416229E-001,-8.644533658599856E-001,-4.409939090347291E-001,
1.600000000000000E+009,-8.655717968940735E-001,-4.334234297275543E-001,-8.681215525264669E-001,-4.360667046379625E-001,-8.682428598403931E-001,-4.354433119297028E-001,-8.676904876327516E-001,-4.343563816452029E-001,
1.605000000000000E+009,-8.682969212532044E-001,-4.271712303161621E-001,-8.715721160026930E-001,-4.292033267265725E-001,-8.714452981948853E-001,-4.283925592899323E-001,-8.707464994621279E-001,-4.273490951728822E-001,
1.610000000000000E+009,-8.713379502296448E-001,-4.209572970867157E-001,-8.752096247370825E-001,-4.220873762185942E-001,-8.752955794334412E-001,-4.211111068725586E-001,-8.738718300056459E-001,-4.201500928306581E-001,
1.615000000000000E+009,-8.742913603782654E-001,-4.150796234607697E-001,-8.785301389155611E-001,-4.152669054470284E-001,-8.782733678817749E-001,-4.143201112747192E-001,-8.765214352989198E-001,-4.135282372760774E-001,
1.620000000000000E+009,-8.778020739555359E-001,-4.089404940605164E-001,-8.817354513803982E-001,-4.082988197836811E-001,-8.811980485916138E-001,-4.070101082324982E-001,-8.790918921852114E-001,-4.068898829936982E-001,
1.625000000000000E+009,-8.812339305877686E-001,-4.024865627288818E-001,-8.849663855721752E-001,-4.012340547129759E-001,-8.842464685440064E-001,-3.997692465782166E-001,-8.819790564155581E-001,-4.004787031745912E-001,
