% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:ag_S21,im:ag_S21,re:pl_0_1_S21,im:pl_0_1_S21,re:pl_0_5_S21,im:pl_0_5_S21,re:Mem17[Trc13]_S21,im:Mem17[Trc13]_S21,
1.160000000000000E+009,-3.447775874063508E-001,-9.142401103579714E-001,-3.444836170011663E-001,-9.141820664194134E-001,-3.448278009891510E-001,-9.141680002212524E-001,-3.448111044311524E-001,-9.141984743309024E-001,-3.448426319599152E-001,-9.142525839805605E-001,
1.165000000000000E+009,-3.529160514276215E-001,-9.112850646236635E-001,-3.525350285184318E-001,-9.112136614775027E-001,-3.526786863803864E-001,-9.112558960914612E-001,-3.529577403259278E-001,-9.112924006462100E-001,-3.529504403114320E-001,-9.113106437683107E-001,
1.170000000000000E+009,-3.612455089789277E-001,-9.083102656836672E-001,-3.608056500744586E-001,-9.082558742616447E-001,-3.610242605209351E-001,-9.083269834518433E-001,-3.612409952354432E-001,-9.082833074951173E-001,-3.612334568500519E-001,-9.083052417755129E-001,
1.175000000000000E+009,-3.692869902266236E-001,-9.055185986231327E-001,-3.688769869182946E-001,-9.054269896182710E-001,-3.690522909164429E-001,-9.054403901100159E-001,-3.692681524562836E-001,-9.054284730339053E-001,-3.692859237194062E-001,-9.055012401580813E-001,
1.180000000000000E+009,-3.774250308615724E-001,-9.024811222327761E-001,-3.769857397669862E-001,-9.024458834262761E-001,-3.772682249546051E-001,-9.025030136108398E-001,-3.773217796707155E-001,-9.024398042488100E-001,-3.774336192607881E-001,-9.024788125038149E-001,
1.185000000000000E+009,-3.854614444431672E-001,-8.994047213817813E-001,-3.849829564266191E-001,-8.993447771263076E-001,-3.852206468582153E-001,-8.994063138961792E-001,-3.853663094139100E-001,-8.993295693588259E-001,-3.854513846397401E-001,-8.994192310333254E-001,
1.190000000000000E+009,-3.930239348351381E-001,-8.959328861168213E-001,-3.925513380359180E-001,-8.959447540222212E-001,-3.928028941154480E-001,-8.960054516792297E-001,-3.928739080619813E-001,-8.959538587379459E-001,-3.930100592613222E-001,-8.959506540298462E-001,
1.195000000000000E+009,-4.005732903323335E-001,-8.926418080598085E-001,-4.001275757654796E-001,-8.926589352936246E-001,-4.004365503787994E-001,-8.925222754478455E-001,-4.004395587825775E-001,-8.926457520103456E-001,-4.005978843688966E-001,-8.926435531616214E-001,
1.200000000000000E+009,-4.082821312678346E-001,-8.894892453240419E-001,-4.077418433145408E-001,-8.894741465003092E-001,-4.079817533493042E-001,-8.894689679145813E-001,-4.080738617801667E-001,-8.894974371910097E-001,-4.082469172000886E-001,-8.895367165565492E-001,
1.205000000000000E+009,-4.160630143193574E-001,-8.862424631206485E-001,-4.154676882851870E-001,-8.862852423908769E-001,-4.156493842601776E-001,-8.862801790237427E-001,-4.158436310291292E-001,-8.862877127265931E-001,-4.160338986873629E-001,-8.862814757347108E-001,
