% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:cap2_p2_0_1_plstc_S21,im:cap2_p2_0_1_plstc_S21,re:cap2_p2_1_plstc_S21,im:cap2_p2_1_plstc_S21,re:Mem17[Trc13]_S21,im:Mem17[Trc13]_S21,
1.275000000000000E+009,-5.238798543462636E-001,-8.265711635456801E-001,-5.229051015903057E-001,-8.282223215132283E-001,-5.235164752804711E-001,-8.268737707568260E-001,-5.239301776885986E-001,-8.266247749328615E-001,
1.280000000000000E+009,-5.303419763904885E-001,-8.222528411044876E-001,-5.294188040989417E-001,-8.237836372851600E-001,-5.300196495727713E-001,-8.225532910186169E-001,-5.304151797294617E-001,-8.222837162017824E-001,
1.285000000000000E+009,-5.366223197787466E-001,-8.178285776618207E-001,-5.356397352634459E-001,-8.194502635762491E-001,-5.363228918376782E-001,-8.181646580576512E-001,-5.366282224655152E-001,-8.179556035995486E-001,
1.290000000000000E+009,-5.432653618654380E-001,-8.131607468096861E-001,-5.422997317328042E-001,-8.147221225554924E-001,-5.429207146006111E-001,-8.134484184224015E-001,-5.433558988571168E-001,-8.132021760940553E-001,
1.295000000000000E+009,-5.496403498227849E-001,-8.083225269363364E-001,-5.487401993047815E-001,-8.099727668766211E-001,-5.492967676939875E-001,-8.086592370612512E-001,-5.496115517616272E-001,-8.083637475967408E-001,
1.300000000000000E+009,-5.553995612717240E-001,-8.034615607318947E-001,-5.546553278971915E-001,-8.050876473267772E-001,-5.551612407707898E-001,-8.038061924269535E-001,-5.554804873466492E-001,-8.035437107086183E-001,
1.305000000000000E+009,-5.616219000396856E-001,-7.986990894880000E-001,-5.608607494961972E-001,-8.003005742454730E-001,-5.612428898335420E-001,-7.990140166139728E-001,-5.616720080375672E-001,-7.987419152259828E-001,
1.310000000000000E+009,-5.674334383168852E-001,-7.940689212921528E-001,-5.666673868133183E-001,-7.956597153856421E-001,-5.670951093595527E-001,-7.944266741208974E-001,-5.674216365814210E-001,-7.941515731811525E-001,
1.315000000000000E+009,-5.733475058702290E-001,-7.897002789383447E-001,-5.726692262171724E-001,-7.912027458229989E-001,-5.730271550562192E-001,-7.899422201791750E-001,-5.733463001251221E-001,-7.897012448310853E-001,
1.320000000000000E+009,-5.796166646537588E-001,-7.852724822459045E-001,-5.789083444084067E-001,-7.867978046194277E-001,-5.793156958621794E-001,-7.855981079578515E-001,-5.796877050399781E-001,-7.853523349761965E-001,
1.325000000000000E+009,-5.859885218936874E-001,-7.809202235359819E-001,-5.852387547108480E-001,-7.823807172342397E-001,-5.856389771538535E-001,-7.811509443262735E-001,-5.860868930816651E-001,-7.809290361404421E-001,
1.330000000000000E+009,-5.927868284424878E-001,-7.762784825044958E-001,-5.919837675014439E-001,-7.777871673212180E-001,-5.924007410746472E-001,-7.765712259868896E-001,-5.928265452384949E-001,-7.763367748260499E-001,
1.335000000000000E+009,-5.988031356914969E-001,-7.713949877367056E-001,-5.981188605146863E-001,-7.729863214292063E-001,-5.984586970756800E-001,-7.717168039123388E-001,-5.988723444938661E-001,-7.714830732345581E-001,
1.340000000000000E+009,-6.050898129136162E-001,-7.665636870999502E-001,-6.044344694068937E-001,-7.681620089400844E-001,-6.047449360765889E-001,-7.669450858366921E-001,-6.050441765785218E-001,-7.665809535980227E-001,
1.345000000000000E+009,-6.111496471283893E-001,-7.615778539579269E-001,-6.105795822773377E-001,-7.631799193650874E-001,-6.108638203921339E-001,-7.619517371174961E-001,-6.111700677871705E-001,-7.615720653533936E-001,
1.350000000000000E+009,-6.171987822329049E-001,-7.565127572107760E-001,-6.165694959568399E-001,-7.580865033331210E-001,-6.168868401520652E-001,-7.568969805116195E-001,-6.172076749801637E-001,-7.565658187866212E-001,
1.355000000000000E+009,-6.232733121800118E-001,-7.515530022647112E-001,-6.226863795207783E-001,-7.530326999735977E-001,-6.229239141824868E-001,-7.518671389622516E-001,-6.232487463951112E-001,-7.515875363349915E-001,
1.360000000000000E+009,-6.296551695013184E-001,-7.465238092038067E-001,-6.291195970402885E-001,-7.480359157547989E-001,-6.293663776181938E-001,-7.469579056825945E-001,-6.297114706039430E-001,-7.465864706039429E-001,
1.365000000000000E+009,-6.359176688476015E-001,-7.414440262223049E-001,-6.353876128308602E-001,-7.429728991270166E-001,-6.356334213730237E-001,-7.418055249038374E-001,-6.358617496490480E-001,-7.414785623550415E-001,
1.370000000000000E+009,-6.425645964138407E-001,-7.361585152512135E-001,-6.420196817634883E-001,-7.377350968835316E-001,-6.422399148421739E-001,-7.366037093684895E-001,-6.425647449493408E-001,-7.362076735496521E-001,
1.375000000000000E+009,-6.487376521554572E-001,-7.307055439151599E-001,-6.481684943303485E-001,-7.322443753615201E-001,-6.484148753474959E-001,-7.310536915190321E-001,-6.487373042106629E-001,-7.307515621185304E-001,
1.380000000000000E+009,-6.551389118619474E-001,-7.250081134219282E-001,-6.546983667324098E-001,-7.266167524731950E-001,-6.548794675951770E-001,-7.253682823757800E-001,-6.551835513114930E-001,-7.250244069099426E-001,
1.385000000000000E+009,-6.615457229150799E-001,-7.186117438759196E-001,-6.611680631590933E-001,-7.202433313966989E-001,-6.612930439434263E-001,-7.190268252789672E-001,-6.616313290596010E-001,-7.186612987518311E-001,
1.390000000000000E+009,-6.678658412628383E-001,-7.124191515841070E-001,-6.673584231957060E-001,-7.140705176299482E-001,-6.675167468790267E-001,-7.127970131312873E-001,-6.678309679031372E-001,-7.124199509620667E-001,
1.395000000000000E+009,-6.742392067792471E-001,-7.061218575481176E-001,-6.736688377904155E-001,-7.078721537946132E-001,-6.739387860159330E-001,-7.065666526091751E-001,-6.742384934425355E-001,-7.061671996116640E-001,
1.400000000000000E+009,-6.805101746434513E-001,-6.998056912715588E-001,-6.799738011964878E-001,-7.015575188561901E-001,-6.801662374586158E-001,-7.002053917203072E-001,-6.805615901947022E-001,-6.998654484748841E-001,
1.405000000000000E+009,-6.867911814622653E-001,-6.931864095113192E-001,-6.861915964285882E-001,-6.949901625566028E-001,-6.865296340868254E-001,-6.935340577867738E-001,-6.868180608749390E-001,-6.932578325271608E-001,
1.410000000000000E+009,-6.932063760035635E-001,-6.867458433512422E-001,-6.925517392022960E-001,-6.886408165283109E-001,-6.929408417805998E-001,-6.871682419340031E-001,-6.932346367836000E-001,-6.868531036376953E-001,
1.415000000000000E+009,-6.992993006111316E-001,-6.805339174431933E-001,-6.986868351050107E-001,-6.823711753468790E-001,-6.990057335384410E-001,-6.808749925955898E-001,-6.993318676948548E-001,-6.805802249908448E-001,
1.420000000000000E+009,-7.052287441932079E-001,-6.740623169080110E-001,-7.045758046911492E-001,-6.759213496832240E-001,-7.049996015797791E-001,-6.744817168366155E-001,-7.051890301704408E-001,-6.741119289398194E-001,
1.425000000000000E+009,-7.114112465269346E-001,-6.675297369658781E-001,-7.107435601986660E-001,-6.694822806139337E-001,-7.111182727184661E-001,-6.679702224042283E-001,-7.114573454856873E-001,-6.676171064376832E-001,
1.430000000000000E+009,-7.168257959762817E-001,-6.613219662127438E-001,-7.161106782497564E-001,-6.632751630992464E-001,-7.165469854542919E-001,-6.617699007181062E-001,-7.168012094497681E-001,-6.614192938804627E-001,
1.435000000000000E+009,-7.221900089823690E-001,-6.544600427233394E-001,-7.215242169856211E-001,-6.564605106200429E-001,-7.219171377012313E-001,-6.548935792696831E-001,-7.222119688987732E-001,-6.545969915390015E-001,
1.440000000000000E+009,-7.278410136478563E-001,-6.485068071173320E-001,-7.271910817848055E-001,-6.505896003779460E-001,-7.275638585885514E-001,-6.489811702420554E-001,-7.278648376464845E-001,-6.486432218551637E-001,
1.445000000000000E+009,-7.334205731744623E-001,-6.422863019760300E-001,-7.327591993132323E-001,-6.443833229083813E-001,-7.331166227773185E-001,-6.427365451576260E-001,-7.334841179847719E-001,-6.423860001564028E-001,
1.450000000000000E+009,-7.391701036957212E-001,-6.360170980567095E-001,-7.384964909635376E-001,-6.380660433632046E-001,-7.388307138864378E-001,-6.364561907682675E-001,-7.392218041419985E-001,-6.360940122604371E-001,
1.455000000000000E+009,-7.447478118977025E-001,-6.297433910184842E-001,-7.440761650989723E-001,-6.318807209487953E-001,-7.444068923553401E-001,-6.301973344223456E-001,-7.447909069061280E-001,-6.298355650901795E-001,
1.460000000000000E+009,-7.499759691776311E-001,-6.235693749543739E-001,-7.493426402060753E-001,-6.256184006635295E-001,-7.496061905446920E-001,-6.239346939145944E-001,-7.500453186035159E-001,-6.235490441322327E-001,
1.465000000000000E+009,-7.547930585185712E-001,-6.174219564666623E-001,-7.540714627234300E-001,-6.195514328940871E-001,-7.543641760475031E-001,-6.179287295374032E-001,-7.547889399528505E-001,-6.174017119407653E-001,
1.470000000000000E+009,-7.597707614515097E-001,-6.112184280322028E-001,-7.591119313693775E-001,-6.134560356856288E-001,-7.594932809734676E-001,-6.117704953322083E-001,-7.598798418045045E-001,-6.113063406944276E-001,
1.475000000000000E+009,-7.649284566883664E-001,-6.048779841105579E-001,-7.642700016641714E-001,-6.070684412609348E-001,-7.645779532578443E-001,-6.054346798065549E-001,-7.649631667137147E-001,-6.048756051063537E-001,
1.480000000000000E+009,-7.700673211544853E-001,-5.985510106316051E-001,-7.695313443264567E-001,-6.008380629326244E-001,-7.697452101596289E-001,-5.991407457105069E-001,-7.700599908828736E-001,-5.985742330551147E-001,
1.485000000000000E+009,-7.751937672249618E-001,-5.916914161636242E-001,-7.746730204692389E-001,-5.940123376280969E-001,-7.748747595654654E-001,-5.922738034368703E-001,-7.752365565299989E-001,-5.917224049568177E-001,
1.490000000000000E+009,-7.802299929791384E-001,-5.853086476849015E-001,-7.797732778898791E-001,-5.876822471782218E-001,-7.799554581856977E-001,-5.859129281296387E-001,-7.803599095344544E-001,-5.853709268569948E-001,
