% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:cap2_p2_0_1_plstc_S21,im:cap2_p2_0_1_plstc_S21,re:cap2_p2_0_5_plstc_S21,im:cap2_p2_0_5_plstc_S21,re:cap2_p2_1_plstc_S21,im:cap2_p2_1_plstc_S21,
1.270000000000000E+009,-5.170130630393269E-001,-8.316492720743087E-001,-5.162449060683871E-001,-8.328558890540098E-001,-5.169342409849282E-001,-8.321752578910027E-001,-5.169869760666288E-001,-8.315969140310017E-001,
1.275000000000000E+009,-5.236154142422989E-001,-8.269109589203678E-001,-5.229051015903057E-001,-8.282223215132283E-001,-5.235465082848034E-001,-8.274110520883485E-001,-5.235164752804711E-001,-8.268737707568260E-001,
1.280000000000000E+009,-5.301435564807010E-001,-8.226145790753593E-001,-5.294188040989417E-001,-8.237836372851600E-001,-5.299846101338849E-001,-8.230357896973399E-001,-5.300196495727713E-001,-8.225532910186169E-001,
1.285000000000000E+009,-5.363122921488409E-001,-8.181803157771919E-001,-5.356397352634459E-001,-8.194502635762491E-001,-5.363472373343595E-001,-8.186971636064514E-001,-5.363228918376782E-001,-8.181646580576512E-001,
1.290000000000000E+009,-5.429485869381230E-001,-8.134321392385847E-001,-5.422997317328042E-001,-8.147221225554924E-001,-5.429957415372250E-001,-8.140330807198601E-001,-5.429207146006111E-001,-8.134484184224015E-001,
1.295000000000000E+009,-5.493751209891041E-001,-8.086865560654752E-001,-5.487401993047815E-001,-8.099727668766211E-001,-5.493558274851453E-001,-8.091454668387152E-001,-5.492967676939875E-001,-8.086592370612512E-001,
1.300000000000000E+009,-5.552184995121641E-001,-8.037715591466274E-001,-5.546553278971915E-001,-8.050876473267772E-001,-5.552112850119592E-001,-8.043128123018801E-001,-5.551612407707898E-001,-8.038061924269535E-001,
1.305000000000000E+009,-5.612694235310591E-001,-7.990229481712893E-001,-5.608607494961972E-001,-8.003005742454730E-001,-5.613651076685853E-001,-7.995320552747762E-001,-5.612428898335420E-001,-7.990140166139728E-001,
1.310000000000000E+009,-5.671594546644520E-001,-7.943474515606993E-001,-5.666673868133183E-001,-7.956597153856421E-001,-5.671715724209030E-001,-7.948306599874346E-001,-5.670951093595527E-001,-7.944266741208974E-001,
1.315000000000000E+009,-5.730880864400607E-001,-7.899276921266552E-001,-5.726692262171724E-001,-7.912027458229989E-001,-5.731279467063039E-001,-7.904184562599126E-001,-5.730271550562192E-001,-7.899422201791750E-001,
1.320000000000000E+009,-5.793409602464019E-001,-7.855889510442682E-001,-5.789083444084067E-001,-7.867978046194277E-001,-5.793729395893872E-001,-7.860148617106293E-001,-5.793156958621794E-001,-7.855981079578515E-001,
1.325000000000000E+009,-5.856891308939225E-001,-7.811542073010964E-001,-5.852387547108480E-001,-7.823807172342397E-001,-5.857031311003995E-001,-7.815925666647603E-001,-5.856389771538535E-001,-7.811509443262735E-001,
1.330000000000000E+009,-5.924005218831064E-001,-7.765956547941304E-001,-5.919837675014439E-001,-7.777871673212180E-001,-5.924311763310316E-001,-7.770652761186112E-001,-5.924007410746472E-001,-7.765712259868896E-001,
