% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:cap2_p2_0_1_plstc_S21,im:cap2_p2_0_1_plstc_S21,re:cap2_p2_1_plstc_S21,im:cap2_p2_1_plstc_S21,re:cap2_p2_0_5_plstc_S21,im:cap2_p2_0_5_plstc_S21,
1.165000000000000E+009,-3.175406282696900E-001,-9.180121484538568E-001,-3.522770762384547E-001,-9.125599184856894E-001,-3.527483816305899E-001,-9.115723332979056E-001,-3.531181466579437E-001,-9.114714479446413E-001,
1.170000000000000E+009,-3.276387688125202E-001,-9.151519714250701E-001,-3.604996162798951E-001,-9.095655914295757E-001,-3.610543515319574E-001,-9.085861399011516E-001,-3.613899159431458E-001,-9.083755278587343E-001,
1.175000000000000E+009,-3.375444829886486E-001,-9.125208283867491E-001,-3.686413663975563E-001,-9.067713363194186E-001,-3.691794070659143E-001,-9.057661321208925E-001,-3.696123266220093E-001,-9.056569218635561E-001,
1.180000000000000E+009,-3.472338950678004E-001,-9.095514688282473E-001,-3.767652986071679E-001,-9.037441563410336E-001,-3.773143552519748E-001,-9.026803639615333E-001,-3.777166700363160E-001,-9.025536918640138E-001,
1.185000000000000E+009,-3.567365386696037E-001,-9.066484764194057E-001,-3.847960912611841E-001,-9.006914879864176E-001,-3.852895128585184E-001,-8.996619401252891E-001,-3.857555413246155E-001,-8.994636869430543E-001,
1.190000000000000E+009,-3.657081462910453E-001,-9.032424787802749E-001,-3.924087425656485E-001,-8.973199320380861E-001,-3.929202567978977E-001,-8.962251028510896E-001,-3.932962751388551E-001,-8.961173248291017E-001,
1.195000000000000E+009,-3.745368709446780E-001,-8.999320095041921E-001,-3.999914890447128E-001,-8.939787424507953E-001,-4.005412613094315E-001,-8.929137638712156E-001,-4.008918619155885E-001,-8.927530884742738E-001,
1.200000000000000E+009,-3.833466865603425E-001,-8.968533192157022E-001,-4.077344631992746E-001,-8.908351556738295E-001,-4.082408022444047E-001,-8.897676051988414E-001,-4.086693942546845E-001,-8.896335077285769E-001,
1.205000000000000E+009,-3.921760348854848E-001,-8.935765746477654E-001,-4.154525461749961E-001,-8.875577565524577E-001,-4.160433907260751E-001,-8.864787805510500E-001,-4.164691877365113E-001,-8.862999892234803E-001,
1.210000000000000E+009,-4.011513649084884E-001,-8.900038757417030E-001,-4.235265952470463E-001,-8.840532188799426E-001,-4.240392850200237E-001,-8.829247222223586E-001,-4.244986820220948E-001,-8.827161836624147E-001,
1.215000000000000E+009,-4.100016970538037E-001,-8.865196455319598E-001,-4.315869447338428E-001,-8.805256300271822E-001,-4.321204191423714E-001,-8.794226673095315E-001,-4.325456893444062E-001,-8.791759848594666E-001,
1.220000000000000E+009,-4.188344477163796E-001,-8.825636360391961E-001,-4.395041027073592E-001,-8.766201342018588E-001,-4.401135179108775E-001,-8.754867928339949E-001,-4.404868590831758E-001,-8.752363085746765E-001,
