% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:cap1_p1_0_1plstc_S21,im:cap1_p1_0_1plstc_S21,re:cap1_p1_0_5plstc_S21,im:cap1_p1_0_5plstc_S21,re:cap1_p1_0_75_plstc_S21,im:cap1_p1_0_75_plstc_S21,re:cap1_p1_1_plstc_S21,im:cap1_p1_1_plstc_S21,
1.320000000000000E+009,-5.768008142245207E-001,-7.807187719760478E-001,-5.793923008312143E-001,-7.853684973910492E-001,-5.786288426326515E-001,-7.842880827483869E-001,-5.749714476692385E-001,-7.789553275107670E-001,-5.767289943695069E-001,-7.806998596191408E-001,
1.325000000000000E+009,-5.830619364422123E-001,-7.762714429343056E-001,-5.857760179703595E-001,-7.810442325621616E-001,-5.850107565661697E-001,-7.798878974030603E-001,-5.811723286950380E-001,-7.744471806871950E-001,-5.829994626045227E-001,-7.762610955238344E-001,
1.330000000000000E+009,-5.897100160564335E-001,-7.716634459168283E-001,-5.925627363090333E-001,-7.764115683475009E-001,-5.918016737912111E-001,-7.753033854622742E-001,-5.877715792193178E-001,-7.698429680662722E-001,-5.896973843574526E-001,-7.716348099708558E-001,
1.335000000000000E+009,-5.956761223630371E-001,-7.669079134689503E-001,-5.986134552235258E-001,-7.715940647942409E-001,-5.978106860162926E-001,-7.704181630665039E-001,-5.936995655929018E-001,-7.650454342290773E-001,-5.956222333908081E-001,-7.668637208938600E-001,
1.340000000000000E+009,-6.018023435789559E-001,-7.620415491610990E-001,-6.048540651338493E-001,-7.667427654288426E-001,-6.040049824857905E-001,-7.655519214569970E-001,-5.997306157061036E-001,-7.602034261739505E-001,-6.017462797164918E-001,-7.620079774856570E-001,
1.345000000000000E+009,-6.077403250112029E-001,-7.571410482852817E-001,-6.109523610571798E-001,-7.617762184610238E-001,-6.100939474030395E-001,-7.606284166359273E-001,-6.055855310379151E-001,-7.552441858853153E-001,-6.077411413192749E-001,-7.571615834236146E-001,
1.350000000000000E+009,-6.136443542460457E-001,-7.520081964019273E-001,-6.169739929480201E-001,-7.566557584606340E-001,-6.160614512517411E-001,-7.555573126130436E-001,-6.114276592695680E-001,-7.503226595103824E-001,-6.135919103622436E-001,-7.520766553878786E-001,
1.355000000000000E+009,-6.195936846825056E-001,-7.471790579616399E-001,-6.230233398980246E-001,-7.517225561451966E-001,-6.221663779723803E-001,-7.506039155154632E-001,-6.172744644053041E-001,-7.454673056304628E-001,-6.196144385337830E-001,-7.471342406272890E-001,
1.360000000000000E+009,-6.258548185356661E-001,-7.423028594600480E-001,-6.293885674827621E-001,-7.466891639043370E-001,-6.284416434497162E-001,-7.456434685839756E-001,-6.235073957730226E-001,-7.406951724992433E-001,-6.257905058860780E-001,-7.423398633003236E-001,
1.365000000000000E+009,-6.319229511600824E-001,-7.373116186524686E-001,-6.356765737643804E-001,-7.417042190347407E-001,-6.345613592722704E-001,-7.405701234477873E-001,-6.294897925343264E-001,-7.357915369536132E-001,-6.318597555160522E-001,-7.372692933082582E-001,
1.370000000000000E+009,-6.384914749132363E-001,-7.322228740801213E-001,-6.422566846477901E-001,-7.363572264535011E-001,-6.412341548952181E-001,-7.353564675124635E-001,-6.359978696234926E-001,-7.307416798221864E-001,-6.384729666709901E-001,-7.321807603836059E-001,
1.375000000000000E+009,-6.445940513460753E-001,-7.268058560673243E-001,-6.484976879423834E-001,-7.309070253767012E-001,-6.474015412517274E-001,-7.299616390196940E-001,-6.421142244858766E-001,-7.254106599761536E-001,-6.445251998901368E-001,-7.268346157073976E-001,
1.380000000000000E+009,-6.510646594449288E-001,-7.212852692773798E-001,-6.550009819458545E-001,-7.252120927597486E-001,-6.539322308196071E-001,-7.243017773554326E-001,-6.485969182751833E-001,-7.199298569784487E-001,-6.510357918739319E-001,-7.213152713775636E-001,
1.385000000000000E+009,-6.574461518967032E-001,-7.149864015488708E-001,-6.613877952380685E-001,-7.188173099932389E-001,-6.602983317319439E-001,-7.179075114746455E-001,-6.549654244767336E-001,-7.137390076335878E-001,-6.573768081665041E-001,-7.150212607383730E-001,
1.390000000000000E+009,-6.637386661547955E-001,-7.089166123534071E-001,-6.676739817594980E-001,-7.126043493473796E-001,-6.665554909531489E-001,-7.117932670892518E-001,-6.612439603280459E-001,-7.076670227150270E-001,-6.636763830184937E-001,-7.089093651771546E-001,
1.395000000000000E+009,-6.701470594870457E-001,-7.026478018319811E-001,-6.740156605097418E-001,-7.063577326096769E-001,-6.729704704969463E-001,-7.054561550452959E-001,-6.676913301471681E-001,-7.015217804260499E-001,-6.701388258934021E-001,-7.026600055694580E-001,
1.400000000000000E+009,-6.765221186780128E-001,-6.963631049264780E-001,-6.803633569879308E-001,-6.999837178010340E-001,-6.793566506876095E-001,-6.991494784461894E-001,-6.741288572015015E-001,-6.952839875639039E-001,-6.764737629890443E-001,-6.963760986328126E-001,
