% Version 1.00
%
%freq[Hz],re:Trc14_S21,im:Trc14_S21,re:cap1_copo2_0_1diverso_S21,im:cap1_copo2_0_1diverso_S21,re:cap1_copo2_0_1diverso_tam_S21,im:cap1_copo2_0_1diverso_tam_S21,re:cap1_copo2_0_1azul_S21,im:cap1_copo2_0_1azul_S21,
1.160000000000000E+009,-3.397236304591018E-001,-9.088959328106867E-001,-3.408395742118027E-001,-9.087906430574760E-001,-3.403752724786496E-001,-9.086545035437004E-001,-3.397035999038675E-001,-9.089730159842970E-001,
1.165000000000000E+009,-3.476608212168082E-001,-9.057424594380600E-001,-3.489152349029613E-001,-9.053728289028641E-001,-3.483474370903714E-001,-9.055865676472795E-001,-3.476145498019494E-001,-9.058140737427426E-001,
1.170000000000000E+009,-3.559234224510562E-001,-9.024044660103918E-001,-3.572972297811662E-001,-9.017321816219124E-001,-3.565623017139298E-001,-9.022544753124688E-001,-3.559121464279781E-001,-9.023891732592055E-001,
1.175000000000000E+009,-3.644712311919321E-001,-8.999111388068739E-001,-3.658636039949714E-001,-8.989399704732650E-001,-3.651326241536477E-001,-8.996581251503752E-001,-3.644531882657451E-001,-8.999156830966655E-001,
1.180000000000000E+009,-3.719438632805877E-001,-8.973462577715202E-001,-3.731412882221293E-001,-8.960687278009629E-001,-3.725697013070162E-001,-8.971352773159540E-001,-3.719244674334305E-001,-8.973750072356858E-001,
1.185000000000000E+009,-3.800470856782913E-001,-8.937538466851811E-001,-3.810266722452724E-001,-8.922566957471076E-001,-3.807394218507007E-001,-8.935347430921961E-001,-3.800747621071410E-001,-8.937928275220470E-001,
1.190000000000000E+009,-3.875758597226428E-001,-8.905194983699033E-001,-3.882428967955955E-001,-8.889245480084095E-001,-3.882767053372636E-001,-8.902931600235410E-001,-3.876028975258462E-001,-8.905485879743511E-001,
1.195000000000000E+009,-3.955954090494219E-001,-8.869568860427213E-001,-3.960259816462827E-001,-8.855075720852812E-001,-3.962659425314590E-001,-8.866960487738400E-001,-3.955526274611622E-001,-8.869637002800219E-001,
1.200000000000000E+009,-4.036810922300672E-001,-8.838289811367008E-001,-4.040472612987299E-001,-8.824374708344267E-001,-4.043751465311093E-001,-8.835211817362653E-001,-4.036208953274314E-001,-8.838446411316111E-001,
1.205000000000000E+009,-4.110355676455375E-001,-8.807501007689803E-001,-4.113329123152949E-001,-8.794124038207618E-001,-4.117611549575752E-001,-8.804173919963054E-001,-4.110032807107585E-001,-8.807891885465453E-001,
